duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,label
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,2,1.0,0.0,0.01,0.06,0
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,4,1.0,0.0,0.02,0.06,0
0,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,15,0.0,1.0,0.18,0.07,0
0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,19,0.0,1.0,0.06,0.06,0
0,1,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,12,1.0,0.0,0.04,0.06,0
0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2,0.0,1.0,0.02,0.08,0
0,0,15,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,274,0.0,0.0,1.0,0.0,0
0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,15,0.0,1.0,0.12,0.07,0
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,16,1.0,0.0,0.05,0.06,0
0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,4,1.0,0.0,0.02,0.06,0
